,lat,lon,elvt,Day sin,Day cos,Year sin,Year cos,smax,smin,tmax,tmin,dmax,dmin,hmax,hmin,Gx,Gy,prcp,stp,gbrd,temp,dewp,hmdy,Wx,Wy,target
34,-14.13305554,-47.52305554,1260.0,-0.8660254037825967,-0.5000000000031903,0.45055979252468487,-0.8927462536242383,879.3,878.7,24.5,22.9,11.7,9.9,47.0,42.0,-3.69396885195395,4.7280645216403325,0.0,878.7,2810.0,23.9,10.6,43.0,-1.846984425976975,2.3640322608201663,6880.286820559642
35,-14.92777777,-53.8836111,648.0,-1.0,-2.911876457809285e-12,0.9998485009555756,-0.017406180996651494,937.9,937.4,31.3,28.9,21.4,18.8,60.0,48.0,0.5926590506840737,-6.774123947023869,0.0,937.6,1378.0,28.9,20.0,59.0,0.0,-0.0,5080.189588553615
36,-13.70861111,-59.76277777,591.0,0.7071067811857765,0.7071067811873185,0.12273262913823133,0.992439772351359,946.3,946.0,22.0,21.8,21.6,21.5,98.0,97.0,-0.5455986880499987,0.5850829612953364,0.0,946.3,1549.6164658769599,22.0,21.6,97.0,-0.0,0.0,5330.81394723407
37,-16.34166666,-53.76611111,526.0,-0.9659258262921878,0.25881904509087833,-0.3353366396733472,0.9420983696475584,949.5,948.6,32.3,30.9,22.4,20.5,59.0,52.0,-6.38288710421445,-4.9868579501378285,0.0,948.6,2524.0,31.8,21.0,53.0,-1.733623657934789,-1.3544552457164474,6134.93405322077
38,-18.51222222,-54.73583333,252.0,0.8660254037877192,-0.499999999994318,-0.520486864763358,0.8538696760096413,984.1,983.8,23.4,23.3,22.5,22.4,95.0,95.0,-1.5803013449522203,0.2502951440643696,1.4,984.0,1549.6164658769599,23.3,22.5,95.0,-0.0,0.0,5103.4378123411125
39,-19.42027777,-54.55305555,646.0,0.7071067811779597,0.7071067811951354,-0.8617363696560714,-0.5073563138583915,941.2,940.9,20.2,18.2,7.6,6.0,48.0,40.0,0.2661140851596347,1.0673252989035962,0.15857694008505133,940.9,1549.6164658769599,18.9,6.8,45.0,0.07257656867990037,0.29108871788279894,5157.243935046529
40,-15.12472221,-58.12722221,300.83,-0.5000000000088406,0.8660254037793346,-0.49964302528779464,-0.8662314051575711,975.1,974.5,33.1,26.0,10.2,7.5,37.0,21.0,3.730183297101123,-0.7250741824308697,0.0,975.1,76.0,26.0,10.2,37.0,0.0,-0.0,3438.283315667995
41,-15.25111111,-59.34666666,256.0,-0.9659258262904827,0.25881904509724185,0.26978116655138035,0.9629216594168897,980.0,979.3,33.5,27.5,22.5,18.0,58.0,45.0,7.221780277824575,-9.583626120567516,0.0,979.9,2945.0,27.5,18.5,58.0,2.948893613445035,-3.913313999231736,6371.301552046244
42,-13.45,-56.66666666,350.0,7.528485039112678e-12,-1.0,-0.36445009998139716,0.931222918867201,972.4,972.2,26.1,23.4,22.3,20.9,88.0,77.0,-0.3290472271938974,-2.67987460943157,0.0,972.4,1549.6164658769599,25.9,22.2,80.0,-0.17061708076720603,-1.3895646122978509,5127.29746850616
43,-20.39555555,-56.43166666,132.49,-0.8660254037779348,-0.500000000011265,-0.9478702595433104,0.3186565095416968,994.7,993.4,33.9,32.1,19.5,18.2,47.0,41.0,6.445517427870167,3.427142408337003,0.0,993.4,3567.0,33.9,19.3,42.0,1.9424847042896396,1.0328374381289598,6901.915520614835
